"Longitude","Latitude","camera_trap"
"-75.55105556","4.713222222","CT-UC-01-01"
"-75.53441667","4.730583333","CT-UC-01-02"
"-75.54613889","4.713333333","CT-UC-01-03"
"-75.5415","4.714583333","CT-UC-01-04"
"-75.55419444","4.714666667","CT-UC-01-05"
"-75.53922222","4.732138889","CT-UC-01-07"
"-75.57769444","4.772333333","CT-UC-01-08"
"-75.57291667","4.774027778","CT-UC-01-09"
"-75.56666944","4.777138889","CT-UC-01-10"
"-75.58356389","4.797861111","CT-UC-01-11"
"-75.58325","4.764416667","CT-UC-01-12"
"-75.58130556","4.768861111","CT-UC-01-13"
"-75.54294444","4.729472222","CT-UC-01-14"
"-75.55266667","4.732722222","CT-UC-01-15"
"-75.54","4.721055556","CT-UC-01-16"
"-75.56258333","4.728083333","CT-UC-01-17"
"-75.54877778","4.729972222","CT-UC-01-18"
"-75.55869444","4.725361111","CT-UC-01-20"
"-75.53575","4.735333333","CT-UC-01-21"
"-75.54827778","4.719111111","CT-UC-01-22"
"-75.56230556","4.719944444","CT-UC-01-23"
"-75.55341667","4.72475","CT-UC-01-24"
"-75.549","4.723777778","CT-UC-01-25"
"-75.55744444","4.733055556","CT-UC-01-26"
"-75.55761111","4.720111111","CT-UC-01-27"
"-75.56475","4.723611111","CT-UC-01-28"
"-75.54469444","4.722027778","CT-UC-01-29"
"-75.55297222","4.71925","CT-UC-01-30"
"-75.55733333","4.776083333","CT-UC-01-31"
"-75.53880556","4.705277778","CT-UC-02-35"
"-75.54375","4.707111111","CT-UC-02-34"
"-75.56972222","4.733611111","CT-UC-02-01"
"-75.56988889","4.738388889","CT-UC-02-02"
"-75.56547222","4.73825","CT-UC-02-03"
"-75.56094444","4.7385","CT-UC-02-04"
"-75.55780556","4.741805556","CT-UC-02-05"
"-75.58108333","4.75125","CT-UC-02-06"
"-75.57630556","4.751027778","CT-UC-02-07"
"-75.57166667","4.751055556","CT-UC-02-08"
"-75.56772222","4.753388889","CT-UC-02-10"
"-75.56730556","4.759333333","CT-UC-02-11"
"-75.56258333","4.7605","CT-UC-02-12"
"-75.55858333","4.762722222","CT-UC-02-13"
"-75.53416667","4.700472222","CT-UC-02-14"
"-75.5295","4.699777778","CT-UC-02-15"
"-75.52433333","4.699361111","CT-UC-02-16"
"-75.52122222","4.702583333","CT-UC-02-17"
"-75.51744444","4.705388889","CT-UC-02-18"
"-75.51330556","4.70825","CT-UC-02-21"
"-75.50852778","4.706277778","CT-UC-02-22"
"-75.50372222","4.705111111","CT-UC-02-23"
"-75.49902778","4.706277778","CT-UC-02-24"
"-75.56886111","4.723055556","CT-UC-02-25"
"-75.48961111","4.709361111","CT-UC-02-26"
"-75.49413889","4.706611111","CT-UC-02-27"
"-75.51733333","4.700222222","CT-UC-02-28"
"-75.56288889","4.715361111","CT-UC-02-29"
"-75.55847222","4.714527778","CT-UC-02-30"
"-75.51255556","4.698225","CT-UC-02-31"
"-75.55786111","4.709861111","CT-UC-02-32"
"-75.54863889","4.708861111","CT-UC-02-33"
